Epoch 1 Training:   0%|                                                                                                          | 0/13500 [00:00<?, ?it/s]C:\Projects\Sereact_coding_challenge\.venv\Lib\site-packages\torch\utils\checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Epoch 1 Training:   2%|█▎                                                                  | 255/13500 [1:29:12<98:04:16, 26.66s/it, loss=0.941, batch=254]
Epoch 00001: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00002: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00003: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00004: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00005: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00006: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00007: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00008: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00009: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00010: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00011: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00012: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00013: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00014: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00015: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00016: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00017: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00018: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00019: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00020: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00021: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00022: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00023: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00024: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00025: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00026: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00027: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00028: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00029: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00030: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00031: adjusting learning rate of group 0 to 2.0000e-04.
Epoch 00032: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00033: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00034: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00035: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00036: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00037: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00038: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00039: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00040: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00041: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00042: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00043: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00044: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00045: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00046: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00047: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00048: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00049: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00050: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00051: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00052: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00053: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00054: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00055: adjusting learning rate of group 0 to 1.9999e-04.
Epoch 00056: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00057: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00058: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00059: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00060: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00061: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00062: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00063: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00064: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00065: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00066: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00067: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00068: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00069: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00070: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00071: adjusting learning rate of group 0 to 1.9998e-04.
Epoch 00072: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00073: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00074: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00075: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00076: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00077: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00078: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00079: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00080: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00081: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00082: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00083: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00084: adjusting learning rate of group 0 to 1.9997e-04.
Epoch 00085: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00086: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00087: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00088: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00089: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00090: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00091: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00092: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00093: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00094: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00095: adjusting learning rate of group 0 to 1.9996e-04.
Epoch 00096: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00097: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00098: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00099: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00100: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00101: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00102: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00103: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00104: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00105: adjusting learning rate of group 0 to 1.9995e-04.
Epoch 00106: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00107: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00108: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00109: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00110: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00111: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00112: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00113: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00114: adjusting learning rate of group 0 to 1.9994e-04.
Epoch 00115: adjusting learning rate of group 0 to 1.9993e-04.
Epoch 00116: adjusting learning rate of group 0 to 1.9993e-04.
Epoch 00117: adjusting learning rate of group 0 to 1.9993e-04.
